Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	3017	9	9	3001	2	0
0.00068	3017	13	13	2993	2	0
0.00135	3017	18	18	2983	2	0
0.00202	3017	28	24	2967	4	-4.34734
0.00204	3017	29	25	2965	4	-3.191
0.00269	3017	41	35	2944	4	-1.53732
0.00271	3017	42	36	2942	4	0.935049
0.00273	3017	43	37	2940	4	0.936596
0.00275	3017	44	38	2938	4	-0.422278
0.00337	3017	53	43	2925	4	-1.78782
0.00339	3017	55	45	2921	4	-3.15454
0.00403	3017	63	46	2916	6	-2.42151
0.00405	3017	74	50	2903	6	-1.51713
0.00407	3017	76	52	2899	6	-1.32774
0.00471	3017	88	54	2894	6	-1.0921
0.00473	3017	91	54	2894	6	-2.11652
0.00538	3017	99	57	2885	8	-1.51071
0.0054	3017	109	61	2877	8	-0.805716
0.00544	3017	110	61	2876	8	-0.00873689
0.00606	3017	125	65	2868	8	0.929923
0.00608	3017	128	65	2867	8	0.91478
0.00673	3017	137	70	2855	8	0.919599
0.00675	3017	144	74	2845	8	0.942669
0.00677	3017	146	75	2843	8	0.959411
0.00679	3017	148	75	2842	8	0.969012
0.00681	3017	150	77	2838	8	0.972922
0.00683	3017	151	78	2836	8	0.971088
0.00741	3017	158	79	2830	8	0.982257
0.00743	3017	162	80	2828	8	0.994537
0.00745	3017	164	80	2828	8	0.998139
0.00748	3017	165	80	2828	8	0.98942
0.00756	3017	166	81	2826	8	0.977814
0.00809	3017	175	82	2823	8	0.96874
0.00811	3017	180	84	2816	8	0.976004
0.00813	3017	182	84	2815	8	0.977045
0.00815	3017	184	85	2813	8	0.975208
0.00817	3017	186	85	2812	8	0.971154
0.00875	3017	190	87	2806	8	0.966088
0.00877	3017	195	88	2802	8	0.970099
0.00879	3017	197	88	2801	8	0.968584
0.00881	3017	201	90	2795	8	0.975609
0.00883	3017	202	90	2795	8	0.157336
0.00885	3017	204	92	2791	8	-0.667039
0.00887	3017	206	94	2787	8	-1.4915
0.00943	3017	211	93	2786	10	-1.30004
0.00945	3017	220	95	2777	10	-1.06734
0.00947	3017	227	97	2771	10	-0.799614
0.00949	3017	230	97	2770	11	0.131022
0.00952	3017	231	97	2770	11	0.414373
0.00956	3017	232	98	2768	11	-0.150563
0.00958	3017	233	98	2768	11	-0.754879
0.00963	3017	234	99	2766	11	-1.64338
0.01012	3017	241	98	2765	14	-1.11322
0.01014	3017	250	99	2762	14	-0.513801
0.01016	3017	255	102	2754	14	0.181592
0.01018	3017	260	104	2749	14	0.709882
0.0102	3017	261	104	2749	14	0.209979
0.01022	3017	262	104	2748	14	-0.29972
0.01026	3017	263	104	2747	15	-0.364421
0.0108	3017	271	104	2745	16	-0.0185452
0.01082	3017	282	106	2739	16	0.36523
0.01084	3017	285	107	2736	16	0.77917
0.01086	3017	290	108	2733	16	0.98914
0.01088	3017	295	109	2731	16	1.00108
0.0109	3017	297	110	2729	16	1.01049
0.01093	3017	298	111	2727	16	0.77701
0.01095	3017	300	111	2727	16	0.522561
0.01097	3017	301	111	2726	16	0.0534936
0.01147	3017	311	112	2723	17	-0.00816805
0.01149	3017	322	116	2713	17	-0.0322546
0.01151	3017	329	115	2712	18	0.291926
0.01153	3017	337	118	2706	18	0.685698
0.01155	3017	340	119	2704	18	0.881763
0.01157	3017	343	120	2702	18	1.07181
0.01162	3017	344	120	2702	18	0.838536
0.01215	3017	353	122	2697	18	0.636979
0.01217	3017	364	123	2692	18	0.432007
0.01219	3017	380	126	2682	19	0.689494
0.01221	3017	388	128	2674	19	0.961646
0.01223	3017	394	128	2674	19	1.14661
0.01225	3017	397	128	2674	19	1.32689
0.01227	3017	399	129	2672	19	1.37198
0.01232	3017	400	129	2671	19	0.954297
0.01283	3017	403	130	2668	19	0.270452
0.01285	3017	418	132	2661	19	-0.471819
0.01287	3017	439	133	2649	21	-0.756423
0.01289	3017	455	134	2642	23	-0.501052
0.01291	3017	460	134	2640	24	-0.029197
0.01293	3017	467	135	2636	25	0.830975
0.01296	3017	471	135	2635	25	1.36916
0.01298	3017	472	135	2635	25	1.63059
0.013	3017	474	136	2633	25	1.81329
0.01303	3017	476	136	2633	25	1.63955
0.01351	3017	479	136	2633	25	1.46157
0.01353	3017	494	137	2626	25	1.34665
0.01355	3017	510	138	2620	26	1.21813
0.01357	3017	523	138	2618	26	1.04759
0.01359	3017	536	139	2613	26	0.920188
0.01361	3017	544	140	2608	28	1.28101
0.01363	3017	546	140	2608	28	1.50187
0.01365	3017	547	140	2608	28	1.72144
0.01381	3017	548	141	2606	28	1.80736
0.0142	3017	558	142	2603	28	1.64922
0.01422	3017	569	142	2598	28	1.3583
0.01424	3017	590	145	2587	29	1.33851
0.01426	3017	605	146	2582	29	1.32184
0.01428	3017	615	146	2578	30	1.54293
0.0143	3017	624	146	2574	30	1.7729
0.01432	3017	625	146	2574	30	1.75125
0.01438	3017	627	146	2573	30	1.71509
0.0144	3017	630	147	2570	30	1.44883
0.01488	3017	638	147	2568	31	1.2824
0.0149	3017	658	148	2561	31	1.01524
0.01492	3017	678	147	2557	32	0.854538
0.01494	3017	693	150	2550	33	-2.78686
0.01496	3017	705	149	2546	34	-6.50321
0.01498	3017	714	150	2542	35	0
