Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	37	41	9	20	3	0
0.00129	67	124	11	43	3	0
0.00257	95	285	9	67	8	0
0.00259	97	288	9	68	8	0.273213
0.00386	113	518	6	88	9	0.210656
0.00388	113	549	6	88	9	1
0.00514	126	725	7	98	9	0.907324
0.00516	135	849	6	107	9	0.551405
0.00518	136	858	6	108	9	0.339363
0.00643	144	1019	7	113	9	0.0653381
0.00645	150	1206	6	120	10	0.0704312
0.00647	150	1221	6	120	10	0.1632
0.00772	152	1373	6	122	10	0.238236
0.00774	159	1583	6	129	10	0.0368022
0.00776	161	1620	6	130	10	-0.20976
0.00901	162	1672	6	131	10	-0.462643
0.00903	166	1879	5	134	12	-0.387781
0.00905	167	1962	5	135	12	-0.275135
0.00907	167	1975	5	135	12	-0.138203
0.00909	167	1981	5	135	12	0.0267684
0.01031	167	2031	5	135	12	0.0381017
0.01033	168	2218	5	136	12	0.0402926
0.01035	169	2275	5	137	12	0.0355831
0.01037	169	2329	5	137	12	0.0309082
0.0104	169	2337	5	137	12	0.0352682
0.01161	170	2388	5	138	12	0.0306284
0.01163	170	2510	5	138	12	0.0327971
0.01165	171	2625	5	139	12	0.0192723
0.01167	171	2656	5	139	12	0.00584521
0.01169	171	2674	5	139	12	-0.000832052
0.01171	171	2675	5	139	12	-0.00748529
0.01291	171	2689	5	139	12	-0.00748529
0.01293	171	2785	5	139	12	-0.00748529
0.01295	172	2888	5	139	12	-0.00748529
0.01297	172	2938	5	139	12	-0.00748529
0.01299	172	2956	5	139	12	-0.00748529
0.01301	173	2969	5	139	12	-0.00748529
0.01303	173	2973	5	139	12	0.00136974
0.01308	173	2974	5	139	12	0.0102248
0.01422	173	2987	5	139	12	0.0190798
0.01424	174	3053	5	140	12	0.0124028
0.01426	174	3121	5	140	12	0.0145729
0.01428	174	3187	5	140	12	0.0167354
0.0143	174	3208	5	140	12	0.0188901
0.01432	175	3219	5	141	12	0.012261
0.01435	175	3221	5	141	12	0.00565545
0.01437	175	3225	5	141	12	-0.000926592
0.01553	175	3233	5	141	12	-0.00748529
0.01555	175	3289	5	141	12	-0.00748529
0.01557	177	3358	6	141	12	-0.00748495
0.01559	177	3378	6	141	12	-0.00748495
0.01561	177	3405	6	141	12	-0.00748495
0.01563	177	3412	6	141	12	0.00124448
0.01565	177	3416	6	141	12	0.00997391
0.01567	177	3417	6	141	12	0.0187033
0.01569	178	3419	6	142	12	0.0121215
0.01685	178	3430	6	142	12	0.00556293
0.01687	178	3476	6	142	12	-0.000972518
0.01689	178	3516	6	142	12	-0.00748495
0.01691	178	3562	6	142	12	-0.00748495
0.01693	178	3576	6	142	12	-0.00748495
0.01695	178	3590	6	142	12	-0.00748495
0.01697	178	3592	6	142	12	-0.00748495
0.01699	178	3594	6	142	12	-0.00748495
0.01701	178	3597	6	142	12	-0.00748495
0.01816	178	3603	6	142	12	-0.00748495
0.01818	178	3620	6	142	12	-0.00748495
0.0182	178	3656	6	142	12	-0.00748495
0.01822	178	3677	6	142	12	-0.00748495
0.01824	178	3693	6	142	12	-0.00748495
0.01826	178	3701	6	142	12	-0.00748495
0.01829	178	3709	6	142	12	-0.00748495
0.01831	178	3711	6	142	12	-0.00748495
0.01837	178	3712	6	142	12	-0.00748495
0.01948	178	3714	6	142	12	-0.00748495
0.0195	178	3726	6	142	12	-0.00748495
0.01952	178	3752	6	142	12	-0.00748495
0.01954	179	3785	6	142	12	-0.00748495
0.01956	181	3797	7	142	12	-0.00747275
0.01958	181	3808	7	142	12	-0.00747275
0.0196	181	3810	7	142	12	-0.00747275
0.01962	181	3812	7	142	12	-0.00747275
0.01964	181	3815	7	142	12	-0.00747275
0.0197	181	3816	7	142	12	-0.00747275
0.0208	181	3820	7	142	12	-0.00747275
0.02082	181	3827	7	142	12	-0.00747275
0.02084	181	3841	7	142	12	-0.00747275
0.02086	181	3857	7	142	12	-0.00747275
0.02088	181	3872	7	142	12	-0.00747275
