Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	104	338	18	27	17	0
0.00622	110	364	20	27	17	0
0.00627	163	1116	10	110	12	0
0.01248	164	1117	10	111	12	1.00002
0.01251	167	1356	5	143	11	0.413662
0.01253	172	1720	5	148	11	0.11773
0.01259	173	1729	5	149	11	0.0505275
0.01268	176	1853	5	151	11	-0.00868045
0.0127	178	2109	4	155	11	-0.0219846
0.01272	178	2115	4	155	11	-0.028856
0.0188	179	2193	4	156	11	-0.0309618
0.01886	179	2195	4	156	11	-0.030695
0.01892	179	2209	4	156	11	-0.0257726
0.01894	181	2536	3	160	11	-0.0315882
0.01896	181	2791	3	160	11	-0.0361745
0.01898	181	2831	3	160	11	-0.0392124
0.01909	181	2838	3	160	11	-0.0422123
0.01927	181	2876	3	160	11	-0.040731
0.01929	182	2893	3	161	11	-0.0418472
0.01931	182	3001	3	161	11	-0.0414832
0.01934	182	3003	3	161	11	-0.0411203
0.02515	182	3009	3	161	11	0.000902863
0.02527	183	3108	3	162	11	0.0413259
0.02529	183	3119	3	162	11	0.0816238
0.02531	183	3124	2	173	10	0.0452715
0.02533	183	3135	2	173	10	0.0119425
0.02537	183	3283	2	173	10	-0.017719
0.02539	183	3319	2	173	10	-0.045175
0.02542	183	3322	2	173	10	-0.045175
0.02544	183	3337	2	173	10	-0.045175
0.02547	183	3338	2	173	10	-0.045175
0.02549	183	3339	2	173	10	-0.043805
0.02552	183	3344	2	173	10	-0.042435
0.02554	183	3375	2	173	10	-0.0410649
0.02556	184	3501	2	174	10	-0.0420969
0.02561	184	3519	2	174	10	-0.0431259
0.02564	184	3524	2	174	10	-0.0441519
0.02579	184	3525	2	174	10	-0.045175
0.02604	184	3526	2	174	10	-0.282189
0.02606	184	3532	2	174	10	-0.519203
0.0261	184	3559	2	174	10	0
