Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	11	7	5	3	2	0
0.00093	16	12	6	5	3	0
0.00099	20	15	7	5	4	0
0.00101	21	16	7	6	4	0
0.00185	30	27	8	13	4	0
0.00197	36	34	8	14	7	0
0.00201	36	35	8	14	7	0.278691
0.00278	39	40	9	15	7	0.713875
0.00295	42	48	10	16	7	1.29822
0.0037	46	56	9	25	4	0.559052
0.00373	49	58	10	26	4	1.02387
0.00385	52	63	9	26	8	0.472812
0.00389	53	64	9	27	8	0.476512
0.00394	61	75	9	34	8	0.461628
0.00396	63	77	9	34	8	0.449049
0.00398	64	78	9	34	8	0.434833
0.004	64	80	9	34	8	0.455031
0.00462	66	95	7	38	8	0.0404362
0.00464	71	102	8	41	8	0.034643
0.0048	72	103	8	41	8	0.0178775
0.00492	79	117	8	45	9	0.0112098
0.00494	81	123	7	45	10	-0.00251736
0.005	82	128	7	46	10	-0.0132824
0.00555	83	143	7	47	10	-0.0253362
0.00558	86	146	8	48	10	-0.0268836
0.0056	87	148	8	49	10	-0.0424953
0.00578	87	149	8	49	10	-0.0583173
0.00589	87	150	8	49	10	-0.0749582
0.00591	93	163	8	51	14	-0.0773284
0.00593	93	167	8	51	14	-0.0788314
0.00597	94	169	7	51	18	-0.0832052
0.006	95	178	7	52	18	-0.0710842
0.00602	95	179	7	52	18	-0.0539553
0.00647	95	191	7	52	18	-0.0339176
0.00649	97	196	8	52	18	0.00514425
0.00651	98	199	8	53	18	0.0139053
0.00674	98	200	8	53	18	0.0232699
0.0068	98	201	8	53	18	0.0248372
0.00689	102	211	8	57	18	0.0212191
0.00691	102	218	8	57	18	0.0184116
0.00693	102	220	8	57	18	0.0163827
0.00696	103	222	8	57	19	0.018579
0.00701	103	223	8	57	19	0.0192488
0.0074	106	242	8	60	19	0.0122615
0.00742	106	244	8	60	19	0.00381376
0.00744	107	249	8	61	19	-0.00482452
0.00749	108	251	8	62	19	-0.0146418
0.00786	108	253	8	62	19	-0.0243732
0.00788	109	266	8	62	20	-0.0319575
0.0079	111	276	8	62	22	-0.0333136
0.00793	113	280	8	62	23	-0.0299053
0.00796	114	283	8	62	24	-0.0237001
0.008	114	285	8	62	24	-0.0165792
0.00802	114	291	8	62	24	-0.00839729
0.00833	114	311	8	62	24	0.000371714
0.00835	114	317	8	62	24	0.00762308
0.00837	115	321	8	63	24	0.010197
