Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	44	22	22	2	2	0
0.00068	70	40	33	4	3	0
0.00135	103	59	49	4	3	0
0.00202	126	77	56	9	6	0
0.00204	126	78	56	9	6	0
0.00269	155	105	66	12	6	0
0.00271	167	112	72	12	6	0
0.00273	169	114	73	12	6	0
0.00336	184	128	78	13	6	0
0.00338	197	136	84	13	6	0
0.0034	207	141	89	13	6	0
0.00345	209	143	90	13	6	0
0.00403	214	163	92	13	7	0
0.00405	225	190	96	13	7	0
0.00407	233	197	99	13	7	0
0.00409	238	200	101	13	7	0
0.00471	261	234	110	13	7	0
0.00473	268	244	113	13	7	-0.127257
0.00476	269	246	112	13	9	-0.136028
0.00479	269	247	112	13	9	-0.141184
0.00538	284	265	118	13	9	-0.146302
0.0054	296	275	123	13	9	-0.149732
0.00542	304	279	127	13	9	-0.153171
0.00544	308	282	129	13	9	-0.15165
0.00605	312	291	129	13	9	-0.150079
0.00607	318	302	131	13	10	-0.144588
0.00609	328	309	135	13	10	-0.136968
0.00612	331	311	136	13	10	-0.128907
0.00616	333	312	137	13	10	-0.123553
0.00618	333	313	137	13	10	-0.117869
0.00625	334	314	137	13	10	-0.116006
0.00673	340	321	139	13	10	-0.114056
0.00675	357	333	145	13	11	-0.108028
0.00677	360	339	146	13	11	-0.101711
0.00679	363	341	147	13	11	-0.0950471
0.00681	368	345	149	13	11	-0.0879938
0.00683	369	348	149	13	11	-0.0875128
0.00688	370	349	149	13	11	-0.0853683
0.0074	377	355	152	13	11	-0.0831275
0.00742	391	371	156	13	11	-0.0807927
0.00744	397	378	158	13	11	-0.0784353
0.00746	397	382	158	13	11	-0.0760859
0.00748	399	386	159	13	11	-0.0718937
0.00756	401	387	160	13	11	-0.0703031
0.00758	401	388	160	13	11	-0.0651962
0.00808	409	400	161	13	13	-0.0522127
0.0081	418	422	162	13	13	-0.0429841
0.00812	424	432	164	13	13	-0.0334272
0.00814	426	436	165	13	13	-0.023644
0.00816	428	440	166	13	13	-0.0135672
0.00818	432	443	167	13	13	-0.00596903
0.00822	434	444	168	13	13	0.00177471
0.00829	434	445	168	13	13	0.00956794
0.00833	434	446	168	13	13	0.0175055
0.00876	437	455	168	14	13	0.0216238
0.00878	445	469	169	14	13	0.0258873
0.0088	446	473	169	14	13	0.0335665
0.00882	452	481	171	14	13	0.04331
0.00884	453	482	171	14	13	0.0546771
0.00886	460	486	174	15	13	0.0624043
0.00888	460	487	174	15	13	0.0696954
0.00943	466	496	175	17	13	0.0687085
0.00945	472	511	176	17	13	0.0694941
0.00947	491	529	183	17	15	0.0765953
0.00949	495	534	184	17	15	0.0811218
0.00951	495	535	184	17	15	0.0867187
0.00954	495	537	184	17	15	0.0922404
0.00956	497	539	185	17	15	0.0997829
0.00958	499	541	186	17	15	0.107288
