Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	4	2	2	2	2	0
0.00068	8	4	4	2	2	0
0.00135	10	5	5	2	2	0
0.00203	12	7	6	2	2	0
0.0027	17	9	8	3	2	0
0.00337	22	12	10	4	2	0
0.00345	24	13	11	4	2	0
0.00409	24	14	11	4	2	0
0.00471	29	17	13	4	3	0
0.00473	29	18	13	4	3	0
0.00539	35	22	16	4	3	0
0.00543	35	23	16	4	3	0
0.00606	38	26	17	4	3	0
0.00673	40	28	18	4	3	0
0.00675	43	30	19	4	3	0.00610964
0.00749	46	31	20	4	3	-5.45156e-05
0.00809	49	33	21	4	3	-0.0116946
0.00811	51	34	22	4	3	-0.0229792
0.00822	53	35	23	4	3	-0.0339243
0.00877	57	39	24	5	4	-0.0346808
0.00879	58	41	24	5	4	-0.0247236
0.00882	58	42	24	5	4	-0.0103811
0.00944	60	44	24	5	4	0.00126216
0.00946	66	49	25	7	4	-0.0251749
0.00948	66	50	25	7	4	-0.0473538
0.01011	69	53	26	7	4	-0.0686481
0.01013	72	56	27	7	5	-0.0737176
0.01018	72	57	27	7	5	-0.0787562
0.0108	76	60	29	7	5	-0.0837582
0.01082	77	63	29	7	5	-0.089966
0.01085	80	65	30	7	6	-0.0859632
0.01089	80	66	30	7	6	-0.0846329
0.01091	80	67	30	7	6	-0.0832812
0.01095	81	68	30	7	7	-0.0742905
0.01148	83	71	30	7	7	-0.0667615
0.0115	86	74	30	8	7	-0.0658515
0.01152	95	80	32	8	8	-0.0582643
0.01154	96	85	32	9	8	-0.0567949
0.01156	99	86	33	10	8	-0.0501861
0.01158	99	87	33	10	8	-0.041079
0.01162	101	89	34	10	8	-0.0292325
0.01164	101	90	34	10	8	-0.0259474
0.01215	103	95	34	10	8	-0.0251833
0.01217	103	98	33	12	10	-0.0219058
0.01221	103	99	33	12	10	-0.0185328
0.01223	104	101	33	12	11	-0.0151971
0.01225	106	102	34	12	11	-0.0118123
0.01227	108	103	35	12	11	-0.0083887
0.01237	108	104	35	12	11	-0.00963855
0.01284	108	106	35	12	11	-0.0130044
0.01286	112	113	35	13	12	-0.0121049
0.01288	114	118	35	14	13	-0.0147608
0.01291	115	121	35	14	13	-0.0139893
0.01294	116	122	35	15	13	-0.0142143
0.013	117	123	35	16	13	-0.0188958
0.01353	118	130	35	16	13	-0.0253728
0.01355	120	137	35	16	14	-0.0268261
0.01357	124	142	36	17	15	-0.0259955
0.01359	127	148	37	17	15	-0.0265068
0.01375	129	149	38	17	15	-0.0269932
0.01381	129	150	38	17	15	-0.030559
0.01421	129	154	38	17	15	-0.0341069
0.01423	129	156	38	17	15	-0.0376371
0.01425	130	158	38	17	16	-0.0353821
0.01427	134	166	39	18	17	-0.032772
0.01429	136	169	40	18	17	-0.0285777
0.01445	138	170	41	18	17	-0.0244555
0.01448	138	171	41	18	17	-0.0206159
0.01488	139	174	41	18	17	-0.0165146
0.0149	142	181	41	18	18	-0.00834117
0.01492	146	191	43	18	18	0.00111823
0.01494	152	199	45	19	18	0.00423358
0.01497	152	200	45	19	18	0.00479645
0.015	152	201	45	19	18	0.00684303
0.01507	152	202	45	19	18	0.00890952
0.01557	152	205	45	19	18	0.0124889
0.01559	155	212	46	19	18	0.0150851
0.01561	158	217	46	20	18	0.0121144
0.01563	158	221	46	20	18	0.00693358
0.01565	165	230	49	21	18	0.0115311
0.01567	167	231	50	21	18	0.0159973
0.0157	167	233	50	21	18	0.0128159
0.01572	169	235	50	21	19	0.0134358
0.0158	170	236	50	21	20	0.0802974
0.01625	172	239	51	21	20	0.16007
0.01627	177	247	52	21	21	0.248958
0.01629	180	259	51	22	22	0.30242
0.01631	185	274	52	23	22	0.39249
0.01634	185	278	52	23	22	0.463654
0.01637	188	284	53	24	22	0.557967
0.01639	190	287	53	24	24	0.633474
0.01643	191	289	53	24	24	0.709501
0.0165	192	290	53	24	24	0.79018
0.01694	193	294	53	24	24	0.87392
0.01696	197	303	53	27	24	0.950696
0.01698	200	313	54	28	24	1.05701
0.017	200	319	54	28	24	1.12658
0.01702	202	330	53	53	17	0.924811
0.01704	205	335	53	54	17	0.787754
0.01706	206	338	53	54	17	0.67706
0.01709	207	339	53	54	17	0.583756
0.01711	208	340	53	55	17	0.502629
0.01714	211	341	54	55	17	0.476026
0.01717	211	343	54	55	17	0.42103
0.01722	212	344	54	55	17	0.375203
0.01729	212	345	54	55	17	0.333985
0.01762	215	349	55	55	17	0.352172
0.01764	219	358	56	56	17	0.391917
0.01766	220	362	56	57	17	0.361423
0.01768	222	369	56	58	18	0.338992
0.0177	223	375	56	59	18	0.318424
0.01772	224	384	56	59	18	0.300844
0.01774	227	390	56	60	18	0.304422
0.01777	228	394	56	60	18	0.308623
0.01782	229	397	56	60	18	0.312797
0.01831	231	400	57	60	18	0.412543
0.01833	235	407	57	62	18	0.414899
0.01835	238	415	57	63	18	0.418364
0.01837	239	427	57	64	18	0.419424
0.01839	243	434	58	65	18	0.538516
0.01841	244	439	58	66	18	0.538263
0.01843	244	447	57	66	18	0.420393
0.01845	246	454	57	67	18	0.420678
0.01847	247	460	57	67	18	0.421594
0.01849	249	462	57	68	18	0.419947
0.01851	252	466	57	70	18	0.41666
0.01856	254	468	57	70	18	0.413448
0.01858	254	469	57	70	18	0.410871
0.019	254	472	57	70	18	0.408346
0.01902	255	476	57	70	18	0.405872
0.01904	257	483	58	70	18	0.520645
0.01906	263	492	59	74	18	0.648632
0.01908	269	511	59	76	19	0.643957
0.0191	272	525	59	77	19	0.639344
0.01912	274	533	59	78	19	0.634363
0.01914	277	542	59	80	19	0.628094
0.01916	278	545	59	80	19	0.62194
0.01918	279	547	59	80	19	0.616364
0.0192	279	548	59	80	19	0.610879
0.01922	280	550	59	80	19	0.605932
0.01925	281	551	59	80	19	0.601943
0.01929	282	553	59	80	19	0.598401
0.01937	283	554	59	80	19	0.594896
0.01969	283	556	59	80	19	0.59223
0.01971	285	561	59	81	20	0.592571
0.01973	288	566	59	82	21	0.59516
0.01975	294	585	60	84	21	0.737498
0.01977	296	596	60	85	21	0.739021
0.01979	299	605	60	85	21	0.740955
0.01981	299	611	60	85	21	0.743304
0.01983	299	619	60	85	21	0.746495
0.01985	299	623	60	85	21	0.749704
0.01987	301	626	60	85	21	0.752929
0.01989	301	627	60	85	21	0.756171
0.01996	301	628	60	85	21	0.75943
0.02003	302	629	60	86	21	0.761903
0.02037	302	631	60	86	21	0.764775
0.02039	304	637	60	88	21	0.766037
0.02041	305	644	60	89	21	0.766492
0.02043	312	656	60	93	22	0.765781
0.02045	314	667	59	93	22	0.624304
0.02047	318	688	60	94	22	0.761996
0.02049	319	697	60	94	22	0.761299
0.02051	320	703	60	94	22	0.760606
0.02053	321	712	60	94	22	0.760299
0.02055	321	715	60	94	22	0.760373
0.02059	322	719	60	94	22	0.761579
0.02063	322	720	60	94	22	0.761468
0.02065	322	721	60	94	22	0.761357
0.02067	325	724	61	94	22	0.88074
0.0207	326	727	61	95	22	0.879094
0.02073	326	729	61	95	22	0.87746
0.02077	326	730	61	95	22	0.876921
