Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	1509	2	2	1507	2	0
0.00135	1509	4	4	1503	2	0
0.00202	1509	5	5	1501	2	0
0.00269	1509	11	8	1492	4	-2.75931
0.00338	1509	13	10	1488	4	-1.92493
0.00404	1509	16	10	1487	4	-0.757363
0.00406	1509	17	10	1486	4	1
0.00409	1509	18	11	1484	4	0.99603
0.00472	1509	20	12	1482	4	0.98912
0.00474	1509	21	13	1480	4	0.400537
0.00539	1509	25	15	1476	4	-0.180908
0.00543	1509	26	16	1474	4	-0.768261
0.00607	1509	32	17	1469	5	-0.40359
0.00609	1509	33	18	1467	5	0.00273238
0.00673	1509	37	20	1462	5	0.464536
0.00675	1509	39	21	1460	5	0.978031
0.00677	1509	40	22	1458	5	0.974443
0.00681	1509	41	23	1456	5	0.972846
0.00742	1509	45	26	1450	5	0.974906
0.00744	1509	46	27	1448	5	0.980972
0.00808	1509	48	27	1447	5	0.502874
0.0081	1509	51	29	1442	5	-0.30902
0.00812	1509	52	29	1442	5	-1.39311
0.00876	1509	54	29	1441	6	-1.75025
0.00886	1509	55	29	1440	7	-1.569
0.00943	1509	57	29	1439	8	-0.853551
0.00945	1509	60	30	1436	8	-0.227803
0.00947	1509	64	31	1431	8	-0.177015
0.00949	1509	65	31	1431	8	-0.695668
0.01011	1509	68	32	1428	9	-1.14905
0.01013	1509	71	32	1427	10	-1.20988
0.01015	1509	74	31	1426	11	-0.900385
0.01017	1509	77	31	1424	12	-0.355624
0.01019	1509	78	31	1423	12	-0.0006002
0.01023	1509	79	31	1423	12	0.144444
0.0108	1509	83	32	1420	13	0.474336
0.01082	1509	86	34	1415	13	0.653499
0.01084	1509	87	35	1413	13	0.840851
0.01086	1509	89	35	1411	13	1.01862
0.01105	1509	90	36	1409	13	0.834898
0.0115	1509	94	37	1406	13	0.67314
0.01152	1509	98	38	1402	13	0.364262
0.01155	1509	102	38	1398	14	-0.0963788
0.01162	1509	103	38	1398	14	-0.583506
0.01217	1509	110	39	1393	15	-0.660799
0.01219	1509	117	37	1390	18	-0.313838
0.01221	1509	120	38	1387	18	0.233214
0.01223	1509	123	38	1385	18	0.768822
0.01237	1509	124	38	1384	18	1.18775
0.01286	1509	130	38	1382	18	1.03727
0.01288	1509	140	38	1379	18	0.892686
0.0129	1509	143	38	1379	18	0.478947
0.01292	1509	147	38	1377	19	0.324139
0.01294	1509	148	38	1377	19	0.158161
0.013	1509	150	38	1375	21	0.325646
0.01308	1509	151	38	1374	21	0.510047
0.01353	1509	158	38	1372	21	0.469272
0.01355	1509	168	38	1370	22	0.648441
0.01357	1509	170	38	1370	22	0.613348
0.01359	1509	174	38	1368	23	0.797085
0.01361	1509	180	40	1363	23	1.17553
0.01364	1509	181	40	1363	23	1.14886
0.0138	1509	182	40	1363	23	1.11947
0.0142	1509	186	40	1361	24	1.20347
0.01422	1509	194	41	1357	24	1.38556
0.01424	1509	200	41	1356	24	1.36366
0.01427	1509	208	41	1354	24	1.34654
0.01429	1509	214	41	1353	25	1.43916
0.01431	1509	217	41	1352	25	1.52272
0.01433	1509	218	41	1351	25	1.60171
0.01438	1509	219	41	1351	25	1.36321
0.01444	1509	221	43	1347	25	1.23854
0.01489	1509	224	45	1343	25	0.860592
0.01491	1509	232	44	1340	28	0.882536
0.01493	1509	242	44	1338	29	-1.48735
0.01495	1509	248	45	1334	29	-4.04103
0.01497	1509	255	46	1328	30	0
